student_id,course,course_content,lecture_delivery,teaching_materials,practicals,assessment,text_feedback
S001,Machine Learning,Good,Very Poor,Good,Excellent,Average,More examples would make concepts clearer.
S002,Machine Learning,Excellent,Excellent,Poor,Average,Very Poor,"Too much theory, please add more practical sessions."
S003,Machine Learning,Good,Good,Poor,Excellent,Excellent,Needs more real-world projects.
S004,Machine Learning,Very Poor,Good,Good,Very Poor,Excellent,Slides are good but explanations can be improved.
S005,Machine Learning,Poor,Excellent,Very Poor,Very Poor,Poor,More examples would make concepts clearer.
S006,Machine Learning,Average,Excellent,Very Poor,Excellent,Average,"Content is repetitive, can be made concise."
S007,Machine Learning,Very Poor,Average,Average,Very Poor,Excellent,Add more coding assignments.
S008,Machine Learning,Excellent,Good,Very Poor,Poor,Excellent,Slides are good but explanations can be improved.
S009,Machine Learning,Poor,Excellent,Average,Very Poor,Good,Good material but assessments are tough.
S010,Machine Learning,Excellent,Very Poor,Very Poor,Average,Poor,"Very interactive sessions, great learning experience!"
S011,Machine Learning,Good,Very Poor,Poor,Very Poor,Good,"Very interactive sessions, great learning experience!"
S012,Machine Learning,Poor,Average,Average,Excellent,Poor,More examples would make concepts clearer.
S013,Machine Learning,Poor,Poor,Very Poor,Very Poor,Excellent,Needs more real-world projects.
S014,Machine Learning,Poor,Poor,Very Poor,Excellent,Average,Add more coding assignments.
S015,Machine Learning,Poor,Average,Average,Good,Very Poor,"Content is repetitive, can be made concise."
S016,Machine Learning,Average,Average,Excellent,Poor,Very Poor,Excellent course! Loved the lectures.
S017,Machine Learning,Poor,Poor,Very Poor,Average,Excellent,Good material but assessments are tough.
S018,Machine Learning,Average,Excellent,Good,Average,Excellent,Add more coding assignments.
S019,Machine Learning,Average,Poor,Average,Poor,Good,Include case studies from the industry.
S020,Machine Learning,Good,Poor,Excellent,Poor,Poor,Include case studies from the industry.
S021,Machine Learning,Poor,Very Poor,Good,Very Poor,Very Poor,"Very interactive sessions, great learning experience!"
S022,Machine Learning,Poor,Poor,Good,Good,Poor,"Too much theory, please add more practical sessions."
S023,Machine Learning,Average,Excellent,Poor,Very Poor,Excellent,Excellent course! Loved the lectures.
S024,Machine Learning,Excellent,Excellent,Very Poor,Average,Good,Add more coding assignments.
S025,Machine Learning,Excellent,Good,Poor,Average,Good,Include case studies from the industry.
S026,Machine Learning,Excellent,Average,Poor,Poor,Poor,"Too much theory, please add more practical sessions."
S027,Machine Learning,Very Poor,Excellent,Average,Excellent,Very Poor,Include case studies from the industry.
S028,Machine Learning,Average,Average,Very Poor,Excellent,Average,Excellent course! Loved the lectures.
S029,Machine Learning,Good,Very Poor,Good,Excellent,Excellent,Include case studies from the industry.
S030,Machine Learning,Very Poor,Poor,Very Poor,Very Poor,Good,Include case studies from the industry.
S031,Machine Learning,Very Poor,Very Poor,Poor,Excellent,Average,Slides are good but explanations can be improved.
S032,Machine Learning,Good,Poor,Average,Very Poor,Average,Needs more real-world projects.
S033,Machine Learning,Good,Excellent,Very Poor,Average,Very Poor,Good material but assessments are tough.
S034,Machine Learning,Poor,Poor,Very Poor,Average,Excellent,"Content is repetitive, can be made concise."
S035,Machine Learning,Average,Good,Poor,Excellent,Very Poor,"Too much theory, please add more practical sessions."
S036,Machine Learning,Very Poor,Excellent,Poor,Average,Good,"Too much theory, please add more practical sessions."
S037,Machine Learning,Average,Excellent,Average,Poor,Very Poor,"Very interactive sessions, great learning experience!"
S038,Machine Learning,Very Poor,Average,Average,Average,Good,Needs more real-world projects.
S039,Machine Learning,Good,Very Poor,Average,Excellent,Excellent,Needs more real-world projects.
S040,Machine Learning,Very Poor,Average,Good,Very Poor,Excellent,Good material but assessments are tough.
S041,Machine Learning,Very Poor,Poor,Average,Excellent,Excellent,Needs more real-world projects.
S042,Machine Learning,Excellent,Good,Excellent,Good,Excellent,Slides are good but explanations can be improved.
S043,Machine Learning,Poor,Good,Excellent,Good,Poor,"Content is repetitive, can be made concise."
S044,Machine Learning,Average,Good,Very Poor,Poor,Very Poor,"Content is repetitive, can be made concise."
S045,Machine Learning,Good,Excellent,Average,Poor,Excellent,Good material but assessments are tough.
S046,Machine Learning,Excellent,Good,Excellent,Very Poor,Very Poor,"Too much theory, please add more practical sessions."
S047,Machine Learning,Good,Very Poor,Excellent,Very Poor,Very Poor,Excellent course! Loved the lectures.
S048,Machine Learning,Excellent,Good,Average,Excellent,Excellent,Excellent course! Loved the lectures.
S049,Machine Learning,Poor,Very Poor,Good,Good,Excellent,"Very interactive sessions, great learning experience!"
S050,Machine Learning,Very Poor,Good,Poor,Average,Average,Slides are good but explanations can be improved.
