student_id,course,course_content,lecture_delivery,teaching_materials,practicals,assessment,text_feedback
S001,Machine Learning,4,1,4,5,3,More examples would make concepts clearer.
S002,Machine Learning,5,5,2,3,1,"Too much theory, please add more practical sessions."
S003,Machine Learning,4,4,2,5,5,Needs more real-world projects.
S004,Machine Learning,1,4,4,1,5,Slides are good but explanations can be improved.
S005,Machine Learning,2,5,1,1,2,More examples would make concepts clearer.
S006,Machine Learning,3,5,1,5,3,"Content is repetitive, can be made concise."
S007,Machine Learning,1,3,3,1,5,Add more coding assignments.
S008,Machine Learning,5,4,1,2,5,Slides are good but explanations can be improved.
S009,Machine Learning,2,5,3,1,4,Good material but assessments are tough.
S010,Machine Learning,5,1,1,3,2,"Very interactive sessions, great learning experience!"
S011,Machine Learning,4,1,2,1,4,"Very interactive sessions, great learning experience!"
S012,Machine Learning,2,3,3,5,2,More examples would make concepts clearer.
S013,Machine Learning,2,2,1,1,5,Needs more real-world projects.
S014,Machine Learning,2,2,1,5,3,Add more coding assignments.
S015,Machine Learning,2,3,3,4,1,"Content is repetitive, can be made concise."
S016,Machine Learning,3,3,5,2,1,Excellent course! Loved the lectures.
S017,Machine Learning,2,2,1,3,5,Good material but assessments are tough.
S018,Machine Learning,3,5,4,3,5,Add more coding assignments.
S019,Machine Learning,3,2,3,2,4,Include case studies from the industry.
S020,Machine Learning,4,2,5,2,2,Include case studies from the industry.
S021,Machine Learning,2,1,4,1,1,"Very interactive sessions, great learning experience!"
S022,Machine Learning,2,2,4,4,2,"Too much theory, please add more practical sessions."
S023,Machine Learning,3,5,2,1,5,Excellent course! Loved the lectures.
S024,Machine Learning,5,5,1,3,4,Add more coding assignments.
S025,Machine Learning,5,4,2,3,4,Include case studies from the industry.
S026,Machine Learning,5,3,2,2,2,"Too much theory, please add more practical sessions."
S027,Machine Learning,1,5,3,5,1,Include case studies from the industry.
S028,Machine Learning,3,3,1,5,3,Excellent course! Loved the lectures.
S029,Machine Learning,4,1,4,5,5,Include case studies from the industry.
S030,Machine Learning,1,2,1,1,4,Include case studies from the industry.
S031,Machine Learning,1,1,2,5,3,Slides are good but explanations can be improved.
S032,Machine Learning,4,2,3,1,3,Needs more real-world projects.
S033,Machine Learning,4,5,1,3,1,Good material but assessments are tough.
S034,Machine Learning,2,2,1,3,5,"Content is repetitive, can be made concise."
S035,Machine Learning,3,4,2,5,1,"Too much theory, please add more practical sessions."
S036,Machine Learning,1,5,2,3,4,"Too much theory, please add more practical sessions."
S037,Machine Learning,3,5,3,2,1,"Very interactive sessions, great learning experience!"
S038,Machine Learning,1,3,3,3,4,Needs more real-world projects.
S039,Machine Learning,4,1,3,5,5,Needs more real-world projects.
S040,Machine Learning,1,3,4,1,5,Good material but assessments are tough.
S041,Machine Learning,1,2,3,5,5,Needs more real-world projects.
S042,Machine Learning,5,4,5,4,5,Slides are good but explanations can be improved.
S043,Machine Learning,2,4,5,4,2,"Content is repetitive, can be made concise."
S044,Machine Learning,3,4,1,2,1,"Content is repetitive, can be made concise."
S045,Machine Learning,4,5,3,2,5,Good material but assessments are tough.
S046,Machine Learning,5,4,5,1,1,"Too much theory, please add more practical sessions."
S047,Machine Learning,4,1,5,1,1,Excellent course! Loved the lectures.
S048,Machine Learning,5,4,3,5,5,Excellent course! Loved the lectures.
S049,Machine Learning,2,1,4,4,5,"Very interactive sessions, great learning experience!"
S050,Machine Learning,1,4,2,3,3,Slides are good but explanations can be improved.
S051,Machine Learning,1,3,1,2,3,Slides are good but explanations can be improved.
S052,Machine Learning,1,5,1,5,2,More examples would make concepts clearer.
S053,Machine Learning,4,5,1,1,3,Slides are good but explanations can be improved.
S054,Machine Learning,2,2,3,4,3,Slides are good but explanations can be improved.
S055,Machine Learning,3,3,1,3,4,Good material but assessments are tough.
S056,Machine Learning,4,5,5,5,2,Add more coding assignments.
S057,Machine Learning,3,5,2,1,1,Good material but assessments are tough.
S058,Machine Learning,1,5,1,1,3,Needs more real-world projects.
S059,Machine Learning,4,5,1,5,2,"Very interactive sessions, great learning experience!"
S060,Machine Learning,5,3,2,2,5,Include case studies from the industry.
S061,Machine Learning,2,2,4,5,3,Good material but assessments are tough.
S062,Machine Learning,1,2,5,4,1,Slides are good but explanations can be improved.
S063,Machine Learning,2,2,1,1,5,Needs more real-world projects.
S064,Machine Learning,3,3,2,4,3,More examples would make concepts clearer.
S065,Machine Learning,5,2,2,2,5,Add more coding assignments.
S066,Machine Learning,5,1,2,3,2,"Too much theory, please add more practical sessions."
S067,Machine Learning,3,4,1,1,1,Needs more real-world projects.
S068,Machine Learning,2,3,2,3,3,More examples would make concepts clearer.
S069,Machine Learning,2,3,2,3,3,"Too much theory, please add more practical sessions."
S070,Machine Learning,4,2,5,1,3,More examples would make concepts clearer.
S071,Machine Learning,4,2,4,3,3,Slides are good but explanations can be improved.
S072,Machine Learning,4,5,1,2,1,Needs more real-world projects.
S073,Machine Learning,2,5,5,3,2,Slides are good but explanations can be improved.
S074,Machine Learning,3,5,5,5,1,"Content is repetitive, can be made concise."
S075,Machine Learning,5,5,3,1,5,Slides are good but explanations can be improved.
S076,Machine Learning,4,3,2,1,3,"Too much theory, please add more practical sessions."
S077,Machine Learning,2,2,4,5,3,Slides are good but explanations can be improved.
S078,Machine Learning,3,4,5,3,5,"Content is repetitive, can be made concise."
S079,Machine Learning,2,2,3,4,3,Slides are good but explanations can be improved.
S080,Machine Learning,5,5,3,1,2,Add more coding assignments.
S081,Machine Learning,5,2,3,5,4,"Too much theory, please add more practical sessions."
